study,influence,group_id,theta,pre_influence,post_influence,subject_id,task_id,original_condition,group_task
lorenz2011,0,081111_1557,184,430.0,422.0,1_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,520.0,22.0,2_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,50.0,4.0,3_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,15.0,10.0,4_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,1750.0,1650.0,5_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,900.0,801.0,6_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,600.0,190.0,7_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,1200.0,123.0,8_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,250000.0,176.0,9_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,500.0,40000.0,10_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,160.0,110.0,11_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,0,081111_1557,184,43.0,170.0,12_081111_1557,lorenz2017_task_184,Solo,081111_1557_lorenz2017_task_184
lorenz2011,1,081111_1557,734,350.0,334.0,1_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,734,50.0,250.0,2_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,734,500.0,370.0,3_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,734,100.0,300.0,4_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,734,320.0,340.0,5_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,734,240.0,314.0,6_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,734,300.0,270.0,7_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
