task_id,study,theta,Omega_hat,omega,n_agents,omega_as_frac
lorenz2017_task_184,lorenz2011,430.0,0.5004999999999612,0.1,5,0.1
lorenz2017_task_184,lorenz2011,430.0,0.6542999999999443,0.1,20,0.1
lorenz2017_task_184,lorenz2011,430.0,0.7430999999999345,0.1,35,0.1
lorenz2017_task_184,lorenz2011,430.0,0.792999999999929,0.1,50,0.1
lorenz2017_task_184,lorenz2011,430.0,0.45909999999996576,0.3333333333333333,5,0.33
lorenz2017_task_184,lorenz2011,430.0,0.610999999999949,0.3333333333333333,20,0.33
lorenz2017_task_184,lorenz2011,430.0,0.710699999999938,0.3333333333333333,35,0.33
lorenz2017_task_184,lorenz2011,430.0,0.7762999999999308,0.3333333333333333,50,0.33
lorenz2017_task_184,lorenz2011,430.0,0.41759999999997033,0.6666666666666666,5,0.66
lorenz2017_task_184,lorenz2011,430.0,0.5545999999999552,0.6666666666666666,20,0.66
lorenz2017_task_184,lorenz2011,430.0,0.6629999999999433,0.6666666666666666,35,0.66
lorenz2017_task_184,lorenz2011,430.0,0.7274999999999362,0.6666666666666666,50,0.66
lorenz2017_task_184,lorenz2011,430.0,0.3649999999999761,1.0,5,1
lorenz2017_task_184,lorenz2011,430.0,0.4957999999999617,1.0,20,1
lorenz2017_task_184,lorenz2011,430.0,0.5969999999999506,1.0,35,1
lorenz2017_task_184,lorenz2011,430.0,0.6514999999999446,1.0,50,1
lorenz2017_task_734,lorenz2011,350.0,0.5879999999999516,0.1,5,0.1
lorenz2017_task_734,lorenz2011,350.0,0.7875999999999296,0.1,20,0.1
lorenz2017_task_734,lorenz2011,350.0,0.8571999999999219,0.1,35,0.1
lorenz2017_task_734,lorenz2011,350.0,0.8953999999999177,0.1,50,0.1
lorenz2017_task_734,lorenz2011,350.0,0.5555999999999551,0.3333333333333333,5,0.33
lorenz2017_task_734,lorenz2011,350.0,0.7619999999999324,0.3333333333333333,20,0.33
lorenz2017_task_734,lorenz2011,350.0,0.8523999999999224,0.3333333333333333,35,0.33
lorenz2017_task_734,lorenz2011,350.0,0.8916999999999181,0.3333333333333333,50,0.33
lorenz2017_task_734,lorenz2011,350.0,0.4920999999999621,0.6666666666666666,5,0.66
lorenz2017_task_734,lorenz2011,350.0,0.7146999999999376,0.6666666666666666,20,0.66
lorenz2017_task_734,lorenz2011,350.0,0.8175999999999263,0.6666666666666666,35,0.66
lorenz2017_task_734,lorenz2011,350.0,0.8792999999999195,0.6666666666666666,50,0.66
lorenz2017_task_734,lorenz2011,350.0,0.45549999999996615,1.0,5,1
lorenz2017_task_734,lorenz2011,350.0,0.6683999999999427,1.0,20,1
lorenz2017_task_734,lorenz2011,350.0,0.792499999999929,1.0,35,1
lorenz2017_task_734,lorenz2011,350.0,0.8518999999999225,1.0,50,1
lorenz2017_task_10067,lorenz2011,12000.0,0.565799999999954,0.1,5,0.1
lorenz2017_task_10067,lorenz2011,12000.0,0.7092999999999382,0.1,20,0.1
lorenz2017_task_10067,lorenz2011,12000.0,0.747599999999934,0.1,35,0.1
lorenz2017_task_10067,lorenz2011,12000.0,0.7765999999999308,0.1,50,0.1
lorenz2017_task_10067,lorenz2011,12000.0,0.5258999999999584,0.3333333333333333,5,0.33
lorenz2017_task_10067,lorenz2011,12000.0,0.6721999999999423,0.3333333333333333,20,0.33
lorenz2017_task_10067,lorenz2011,12000.0,0.7351999999999353,0.3333333333333333,35,0.33
lorenz2017_task_10067,lorenz2011,12000.0,0.7549999999999332,0.3333333333333333,50,0.33
lorenz2017_task_10067,lorenz2011,12000.0,0.4721999999999643,0.6666666666666666,5,0.66
lorenz2017_task_10067,lorenz2011,12000.0,0.6240999999999476,0.6666666666666666,20,0.66
lorenz2017_task_10067,lorenz2011,12000.0,0.6873999999999406,0.6666666666666666,35,0.66
lorenz2017_task_10067,lorenz2011,12000.0,0.7312999999999358,0.6666666666666666,50,0.66
lorenz2017_task_10067,lorenz2011,12000.0,0.40299999999997194,1.0,5,1
lorenz2017_task_10067,lorenz2011,12000.0,0.5403999999999568,1.0,20,1
lorenz2017_task_10067,lorenz2011,12000.0,0.611199999999949,1.0,35,1
lorenz2017_task_10067,lorenz2011,12000.0,0.6487999999999449,1.0,50,1
lorenz2017_task_198,lorenz2011,92.0,0.6542999999999443,0.1,5,0.1
lorenz2017_task_198,lorenz2011,92.0,0.7842999999999299,0.1,20,0.1
lorenz2017_task_198,lorenz2011,92.0,0.8072999999999274,0.1,35,0.1
lorenz2017_task_198,lorenz2011,92.0,0.8147999999999266,0.1,50,0.1
lorenz2017_task_198,lorenz2011,92.0,0.6468999999999451,0.3333333333333333,5,0.33
lorenz2017_task_198,lorenz2011,92.0,0.7781999999999306,0.3333333333333333,20,0.33
lorenz2017_task_198,lorenz2011,92.0,0.8079999999999273,0.3333333333333333,35,0.33
lorenz2017_task_198,lorenz2011,92.0,0.8167999999999264,0.3333333333333333,50,0.33
lorenz2017_task_198,lorenz2011,92.0,0.6316999999999467,0.6666666666666666,5,0.66
lorenz2017_task_198,lorenz2011,92.0,0.78379999999993,0.6666666666666666,20,0.66
lorenz2017_task_198,lorenz2011,92.0,0.8062999999999275,0.6666666666666666,35,0.66
lorenz2017_task_198,lorenz2011,92.0,0.8250999999999254,0.6666666666666666,50,0.66
lorenz2017_task_198,lorenz2011,92.0,0.6194999999999481,1.0,5,1
lorenz2017_task_198,lorenz2011,92.0,0.7789999999999305,1.0,20,1
lorenz2017_task_198,lorenz2011,92.0,0.8083999999999273,1.0,35,1
lorenz2017_task_198,lorenz2011,92.0,0.8159999999999265,1.0,50,1
lorenz2017_task_639,lorenz2011,98.0,0.6667999999999429,0.1,5,0.1
lorenz2017_task_639,lorenz2011,98.0,0.7808999999999303,0.1,20,0.1
lorenz2017_task_639,lorenz2011,98.0,0.8034999999999278,0.1,35,0.1
lorenz2017_task_639,lorenz2011,98.0,0.8121999999999269,0.1,50,0.1
lorenz2017_task_639,lorenz2011,98.0,0.6608999999999435,0.3333333333333333,5,0.33
lorenz2017_task_639,lorenz2011,98.0,0.7905999999999292,0.3333333333333333,20,0.33
lorenz2017_task_639,lorenz2011,98.0,0.8089999999999272,0.3333333333333333,35,0.33
lorenz2017_task_639,lorenz2011,98.0,0.8004999999999282,0.3333333333333333,50,0.33
lorenz2017_task_639,lorenz2011,98.0,0.6542999999999443,0.6666666666666666,5,0.66
lorenz2017_task_639,lorenz2011,98.0,0.7857999999999298,0.6666666666666666,20,0.66
lorenz2017_task_639,lorenz2011,98.0,0.802299999999928,0.6666666666666666,35,0.66
lorenz2017_task_639,lorenz2011,98.0,0.8055999999999276,0.6666666666666666,50,0.66
lorenz2017_task_639,lorenz2011,98.0,0.6457999999999452,1.0,5,1
